id,adaptability,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,incredibly_kifriendly_dogs,dog_friendly,friendly_towarstrangers,health_grooming,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,exercise_needs,energy_level,intensity,potential_for_playfulness,breed_group,height,weight,lifspan,adapts_well_to_apartment_living
28,4,5,3.0,2,2,3,4,3,5,3,2,3,4,1,2,3,4,2,3,4,4,4,2.0,4,4,4.0,3,2.0,4,Terrier Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",30 to 60 pounds,10 to 15 years,Flexible
29,4,2,4.0,2,1,3,5,4,2,2,2,3,3,1,4,4,3,2,3,3,4,2,2.0,4,4,4.0,4,4.0,5,Terrier Dogs,22 inches to 26 inches tall at the shoulder,40 to 70 pounds,10 to 15 years,Versatile
30,3,1,4.0,2,5,4,5,4,5,5,5,3,5,1,5,4,3,4,4,5,4,5,4.0,4,5,5.0,4,5.0,5,Hound Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",55 to 80 pounds,10 to 12 years,Resistant
31,3,2,4.0,1,3,4,4,5,4,3,1,3,4,1,4,3,3,3,4,5,5,5,3.0,2,3,5.0,5,4.0,5,Herding Dogs,19 to 25 inches,120 to 180 pounds,12 - 15 years,Flexible
32,3,3,2.0,1,3,2,4,5,3,4,3,4,1,1,5,2,3,1,3,3,3,4,3.0,2,4,4.0,4,4.0,4,Mixed Breed Dogs,20 to 25 inches,Starts at 20 pounds,10 to 14 years. ,Versatile
33,3,1,4.0,1,1,3,3,5,3,2,2,3,3,1,3,3,2,1,4,3,4,3,3.0,4,2,4.0,4,3.0,4,Working Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",25 to 27 pounds,8 to 12 years,Resistant
34,4,5,5.0,1,4,5,5,5,4,5,5,3,4,1,3,2,3,2,4,4,4,5,4.0,4,3,3.0,3,3.0,5,Companion Dogs,18 to 25 inches,35 to 80 pounds,12 to 14 years,Versatile
35,3,2,5.0,1,2,3,3,4,3,3,2,2,1,1,1,5,3,2,4,1,4,3,5.0,5,3,3.0,3,4.0,5,Herding Dogs,21 to 25 inches at the shoulder,15 to 35 pounds ,13 to 17+ years ,Versatile
36,2,2,4.0,3,3,3,4,5,4,4,4,4,1,3,5,4,4,4,4,4,5,1,1.0,3,2,4.0,3,4.0,5,Working Dogs,15 to 30 inches,4 to 16 pounds ,11 to 16 years ,Resistant
37,2,2,2.0,3,5,3,4,5,5,2,1,4,3,4,1,2,3,5,2,4,3,5,3.0,4,5,4.0,4,3.0,2,Working Dogs,12 to 15 inches. ,7 to 12 pounds,10 to 12 years,Resistant
38,3,1,3.0,2,1,3,5,5,5,2,5,3,5,4,3,3,4,2,3,3,4,5,2.0,4,5,4.0,4,1.0,4,Working Dogs,19 to 24 inches,30 to 60 pounds,13 to 15 years,Flexible
39,3,3,2.0,2,2,2,4,5,4,2,3,2,4,3,3,4,4,3,3,5,4,3,4.0,3,2,4.0,3,4.0,4,Companion Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",115 to 180 pounds,11 to 13 Years,Moderate
40,3,2,,1,4,3,4,5,5,3,3,3,5,1,5,3,4,3,3,3,3,2,5.0,4,2,4.0,5,2.0,4,Hybrid Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",45 to 55 pounds,10 to 14 years,Moderate
41,2,1,5.0,1,4,4,5,5,5,5,5,3,4,2,5,3,4,4,4,5,5,5,5.0,5,3,5.0,5,4.0,5,Mixed Breed Dogs,20 to 27 inches ,Starts at 20 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,Resistant
42,3,2,4.0,3,3,2,4,5,4,2,2,2,4,1,2,2,2,4,3,4,4,2,4.0,2,3,4.0,5,3.0,4,Working Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",4 to 16 pounds ,10 to 12 years,Moderate
43,3,3,3.0,3,1,4,3,4,3,2,2,3,2,1,4,3,2,2,4,2,4,4,3.0,4,2,4.0,4,2.0,4,Companion Dogs,"Up to 1 foot, 2 inches tall at the shoulder",45 to 100 pounds,10 to 13 years,Versatile
44,3,1,3.0,3,3,3,3,4,2,1,2,3,2,1,2,2,3,2,3,3,3,4,3.0,4,4,3.0,4,3.0,4,Companion Dogs,"Up to 1 foot, 2 inches tall at the shoulder",8 to 14 pounds,11 to 13 years,Versatile
45,3,1,4.0,1,2,2,4,5,4,4,4,4,4,3,3,2,4,4,3,4,4,3,3.0,2,3,5.0,5,4.0,5,Working Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",Starts at 20 pounds,10 to 14 years,Hesitant
46,3,3,4.0,5,3,4,3,4,3,3,2,3,3,1,5,4,3,1,4,2,4,3,4.0,2,4,3.0,4,3.0,4,Mixed Breed Dogs,7 to 12 inches,15 to 35 pounds ,12 to 16 years,Versatile
47,3,2,4.0,3,4,3,4,5,1,4,4,3,2,1,2,3,3,4,3,3,4,3,1.0,3,3,3.0,3,3.0,3,Terrier Dogs,"2 feet, 8 inches to 2 feet, 11 inches tall at the shoulder",45 to 70 pounds,14 to 20 years,Versatile
48,3,2,3.0,5,3,2,4,5,4,3,3,2,4,2,2,2,4,3,3,4,4,2,3.0,3,1,4.0,3,3.0,4,Mixed Breed Dogs,10 inches to 1 foot tall at the shoulder,10 to 20 pounds,12 to 16 years,Moderate
49,3,4,3.0,3,1,5,3,4,3,2,1,3,5,1,4,4,3,1,2,2,4,4,2.0,3,1,3.0,2,2.0,4,Companion Dogs,"Up to 1 foot, 2 inches tall at the shoulder",50 to 110 pounds,10 to 14 years,Versatile
50,4,2,3.0,1,2,3,5,4,5,5,5,3,3,1,1,4,3,1,4,1,4,3,3.0,3,3,4.0,4,2.0,4,Terrier Dogs,22 inches to 26 inches tall at the shoulder,40 to 60 pounds,10 to 15 years,Flexible
51,2,1,3.0,1,5,4,5,5,5,5,5,3,5,1,5,5,3,5,4,2,3,4,3.0,2,5,5.0,5,4.0,5,Working Dogs,7 inches to 8 inches tall at the shoulder,15 to 35 pounds ,12 to 14 Years,Resistant
52,3,4,4.0,1,2,3,4,5,4,4,5,3,1,2,2,1,4,4,3,4,4,2,3.0,2,2,4.0,4,3.0,4,Sporting Dogs,"2 feet to 2 feet, 5 inches tall at the shoulder",40 to 50 pounds,12 to 16 years,Moderate
53,3,1,2.0,2,2,2,4,5,4,2,4,3,3,2,4,4,2,4,3,4,4,4,1.0,2,3,3.0,4,3.0,5,Mixed Breed Dogs,24 to 34 inches,50 to 60 pounds,8 to 12 years. ,Resistant
54,3,3,4.0,2,2,3,4,5,4,5,4,3,3,1,4,2,4,3,3,4,4,3,4.0,5,3,5.0,4,4.0,5,Terrier Dogs,20 to 24 Inches,50 to 90 pounds,10 to 15 years,Flexible
55,3,5,4.0,1,2,4,4,4,4,4,3,2,1,1,5,4,3,3,3,3,4,3,4.0,5,2,4.0,4,4.0,5,Mixed Breed Dogs,16 to 25 inches ,9 to 15 pounds,12 to 15 years,Versatile
56,4,1,4.0,1,4,2,4,5,5,4,3,4,4,5,3,3,4,4,3,4,5,2,3.0,3,3,4.0,5,3.0,5,Sporting Dogs,20 to 27 inches ,115 to 180 pounds,8 to 11 years,Moderate
57,3,2,3.0,2,4,3,4,5,4,4,3,4,4,1,5,3,3,3,4,4,4,3,4.0,2,3,4.0,5,3.0,5,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",25 to 30 pounds,12 to 15 years,Hesitant
58,3,3,3.0,1,2,5,4,5,4,3,4,2,3,2,3,4,3,2,3,4,4,2,2.0,4,1,4.0,4,3.0,4,Companion Dogs,"2 feet, 2 inches to 2 feet, 8 inches tall at the shoulder",30 to 60 pounds,11 to 14 years,Versatile
59,4,3,3.0,1,4,3,5,5,5,5,4,3,5,4,3,3,2,4,4,5,5,2,4.0,2,4,4.0,4,4.0,4,Herding Dogs,19 to 24 inches,15 to 17 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,Hesitant
60,3,4,4.0,2,1,4,3,4,3,3,2,2,1,1,5,3,3,2,4,3,4,2,2.0,5,4,4.0,5,3.0,4,Herding Dogs,21 to 25 inches at the shoulder,3 to 6 pounds,10 to 13,Versatile
61,3,2,4.0,1,3,2,4,5,4,2,4,2,3,1,5,3,4,1,3,2,4,3,3.0,2,2,5.0,5,4.0,5,Mixed Breed Dogs,16 to 25 inches ,Starts at 20 pounds,10 to 15 years,Flexible
62,3,1,4.0,3,3,3,4,5,5,2,2,2,4,1,5,5,3,5,3,3,4,3,2.0,3,5,4.0,4,5.0,4,Working Dogs,21 to 25 inches at the shoulder,55 to 70 pounds,6 to 10 years,Hesitant
63,3,2,3.0,2,1,3,4,4,4,4,3,3,3,1,4,3,1,3,3,3,4,4,5.0,4,2,4.0,5,3.0,4,Hound Dogs,12 to 15 inches. ,110 to 200 pounds,10 to 12 years,Hesitant
64,3,5,4.0,2,2,4,5,5,5,4,4,3,1,1,5,3,2,1,4,5,5,3,3.0,2,3,5.0,5,4.0,5,Companion Dogs,18 to 23.5 inches,40 to 180 pounds,12 to 15 years,Versatile
65,3,2,,3,5,3,4,5,5,4,5,3,4,2,4,3,3,4,3,4,4,2,2.0,3,1,4.0,4,2.0,4,Herding Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",30 to 60 pounds,12 to 14 years,Resistant
66,3,2,5.0,1,3,3,4,5,4,3,3,2,5,1,4,4,4,3,3,2,3,4,3.0,2,2,4.0,4,4.0,5,Mixed Breed Dogs,16 to 25 inches ,5 to 20 pounds ,10 to 12 years,Resistant
67,4,2,4.0,3,2,3,5,5,5,3,2,3,3,1,4,4,2,3,4,3,4,4,5.0,4,5,4.0,4,2.0,5,Hound Dogs,"1 foot, 8 inches to 2 feet, 1 inch tall at the shoulder",18 to 30 pounds,11 to 15 years,Flexible
68,3,1,3.0,3,4,4,5,4,5,5,5,3,1,1,5,3,4,3,4,2,5,3,5.0,4,4,5.0,5,5.0,5,Working Dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",15 to 35 pounds ,10 to 12 years,Resistant
69,3,1,4.0,2,5,4,5,5,4,4,5,3,5,5,5,4,3,5,4,5,5,5,3.0,1,3,4.0,4,4.0,5,Working Dogs,17 to 20 inches tall at the shoulder,50 to 80 pounds ,10 to 14 years,Resistant
70,3,1,4.0,2,4,4,4,5,5,4,3,4,4,5,5,3,3,5,4,4,5,4,4.0,3,3,4.0,5,4.0,5,Working Dogs,"1 foot, 8 inches to 1 foot, 11 inches tall at the shoulder",9 to 15 pounds,10 to 12 years,Resistant
71,3,2,2.0,2,4,3,5,5,5,5,2,3,3,3,2,3,5,3,4,1,4,5,5.0,3,4,5.0,5,4.0,5,Terrier Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",70 to 115 pounds,10 to 12 years,Resistant
72,3,3,4.0,1,4,4,4,5,4,4,4,3,4,1,3,4,4,4,3,5,5,3,3.0,2,2,4.0,4,3.0,5,Mixed Breed Dogs,8 to 18 inches ,9 to 13 pounds,12 to 15 years,Moderate
73,3,3,4.0,1,2,4,4,5,4,4,4,3,3,1,5,4,4,4,3,2,4,4,3.0,4,2,5.0,5,3.0,5,Mixed Breed Dogs,20 to 25 inches,40 to 180 pounds,14 to 17 years,Resistant
74,3,3,3.0,2,3,3,4,4,5,2,3,2,4,2,2,5,3,3,3,3,4,2,2.0,4,5,4.0,5,3.0,4,Mixed Breed Dogs,12 to 15 inches ,60 to 75 pounds,12 to 15 years,Moderate
75,4,3,2.0,3,3,3,4,5,5,1,3,2,2,1,4,4,4,4,4,5,4,3,2.0,3,5,5.0,5,2.0,3,Working Dogs,18 to 23.5 inches,40 to 180 pounds,10 to 12 years,Moderate
76,3,2,4.0,3,3,3,4,5,4,3,4,3,4,1,4,2,1,4,3,4,4,3,4.0,3,3,4.0,3,3.0,4,Mixed Breed Dogs,"1 foot, 3 inches to 1 foot, 5 inches tall at the shoulder",30 to 85 pounds,12 to 15 years,Versatile
77,4,4,3.0,3,4,2,4,5,4,4,3,3,1,1,3,3,5,2,3,4,5,2,4.0,2,3,3.0,3,2.0,4,Hybrid Dogs,12 to 15 inches ,70 to 115 pounds,10 to 15 years,Versatile
78,3,5,4.0,3,4,3,4,4,4,4,4,3,4,1,3,4,3,5,3,4,4,2,4.0,3,3,3.0,2,3.0,5,Mixed Breed Dogs,16 to 25 inches,4 to 8 pounds,10 to 12 years ,Hesitant
79,4,4,2.0,2,3,4,4,5,5,3,4,2,1,1,5,5,3,1,3,5,4,4,3.0,2,5,5.0,5,3.0,5,Companion Dogs,9 inches to 10 inches tall at the shoulder,100 to 130 pounds,12 to 15 years,Versatile
80,3,2,5.0,1,2,4,4,5,5,4,4,4,4,2,5,4,4,4,3,5,4,3,3.0,3,5,5.0,5,4.0,5,Mixed Breed Dogs,"From 1 foot, 9 inches tall at the shoulder",9 to 15 pounds,12 to 18 years,Resistant
81,3,3,5.0,2,1,2,4,4,4,3,2,3,2,5,5,3,2,2,4,3,4,3,3.0,4,2,4.0,4,4.0,5,Mixed Breed Dogs,21 to 25 inches at the shoulder,15 to 35 pounds ,15 to 17 years,Flexible
82,3,3,4.0,1,3,3,3,5,2,3,3,3,2,1,4,4,4,2,3,3,4,4,4.0,3,3,4.0,4,4.0,3,Mixed Breed Dogs,21 to 25 inches at the shoulder,90 to 150 pounds. ,8 to 12 years,Hesitant
83,4,3,3.0,5,3,2,4,4,3,2,3,2,2,1,4,4,4,2,3,1,4,3,5.0,4,4,2.0,4,2.0,4,Mixed Breed Dogs,10 to 14 inches,25 to 40 pounds,12 to 15 years,Versatile
84,4,5,3.0,1,3,4,4,5,4,4,4,2,2,1,2,3,3,1,3,4,5,2,3.0,2,2,4.0,3,3.0,5,Companion Dogs,20 to 25 inches,Starts at 20 pounds,12 to 15 years,Versatile
85,3,2,4.0,1,4,3,5,5,5,5,4,3,3,1,4,4,4,4,4,1,5,3,3.0,4,5,4.0,4,4.0,5,Mixed Breed Dogs,9 to 10 inches tall at the shoulder,40 to 180 pounds,12 to 16 years,Resistant
86,4,2,3.0,5,5,1,3,4,2,2,1,3,3,3,3,2,2,4,3,2,3,4,2.0,4,4,3.0,3,2.0,4,Working Dogs,10 to 14 inches,18 to 30 pounds,6 to 10 years,Versatile
87,3,2,5.0,2,4,3,4,5,4,4,5,3,5,2,3,4,2,3,4,5,4,2,3.0,3,3,4.0,5,4.0,4,Herding Dogs,8 to 18 inches ,7 to 38 pounds,10 to 15 years ,Resistant
88,3,4,3.0,2,1,2,4,4,4,3,2,2,1,1,1,2,3,1,3,4,4,2,1.0,2,2,3.0,3,3.0,3,Companion Dogs,10 to 14 inches,45 to 55 pounds,10 to 15 years,Versatile
89,3,3,3.0,1,5,3,3,3,1,3,2,3,4,2,3,4,3,3,3,4,4,4,2.0,2,1,3.0,3,2.0,4,Mixed Breed Dogs,12 to 16 inches,30 to 60 pounds,13 to 18 years,Resistant
90,3,3,4.0,3,4,2,3,4,3,3,2,3,2,1,5,4,3,2,4,4,3,4,3.0,5,4,3.0,4,2.0,4,Mixed Breed Dogs,6 to 10 inches,15 to 35 pounds ,7 to 10 years,Flexible
91,3,5,4.0,3,2,4,4,5,4,4,3,3,4,1,5,2,4,2,4,4,3,4,3.0,2,3,5.0,5,4.0,5,Mixed Breed Dogs,20 to 25 inches,40 to 180 pounds,12 to 15 years,Resistant
92,3,2,4.0,2,2,3,5,4,4,3,5,3,2,1,5,4,3,2,4,2,4,2,3.0,5,5,4.0,4,4.0,4,Mixed Breed Dogs,"1 foot, 3 inches to 1 foot, 9 inches tall at the shoulder",Starts at 20 pounds,12 to 16 years,Versatile
93,3,3,3.0,3,3,1,4,5,4,4,2,3,4,1,4,4,3,3,3,3,3,2,2.0,2,1,3.0,3,2.0,3,Hybrid Dogs,12 to 15 inches. ,18 to 30 pounds,6 to 8 years,Hesitant
94,3,1,4.0,1,2,4,4,5,4,4,4,4,4,1,5,3,3,4,3,5,4,3,3.0,3,3,5.0,5,4.0,5,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",Starts at 20 pounds,12 to 15 years,Versatile
95,3,1,5.0,1,3,2,4,5,5,4,3,3,2,2,3,3,3,3,3,2,4,3,2.0,2,2,3.0,3,4.0,5,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",9 to 25 pounds,10 to 14 years,Moderate
96,3,5,4.0,5,4,2,4,5,4,4,4,4,4,2,4,3,4,4,3,5,4,3,3.0,2,3,4.0,4,3.0,4,Mixed Breed Dogs,8 to 18 inches ,Starts at 20 pounds,10 to 12 years,Moderate
97,4,3,5.0,3,4,3,4,5,4,4,4,3,1,2,3,4,3,2,3,4,5,2,4.0,3,2,4.0,4,3.0,4,Terrier Dogs,"1 foot, 9 inches to 1 foot, 11 inches tall at the shoulder",25 to 35 pounds. ,10 to 15 years,Moderate
98,3,2,5.0,2,5,2,4,5,5,4,1,4,4,3,3,3,3,5,3,3,3,2,2.0,2,3,3.0,3,3.0,4,Working Dogs,16 to 25 inches,70 to 115 pounds,10 to 12 years,Hesitant
99,4,2,5.0,1,3,3,4,5,4,4,3,3,4,2,4,2,4,2,3,4,4,3,3.0,3,2,4.0,3,5.0,5,Mixed Breed Dogs,7 inches to 8 inches tall at the shoulder,50 to 90 pounds,11 to 14 years,Resistant
100,2,2,3.0,2,5,2,5,5,5,1,5,4,5,5,3,4,4,5,2,4,5,5,1.0,3,4,4.0,4,4.0,4,Working Dogs,19 to 24 inches,44 to 50 pounds,8 to 10 years,Resistant
101,3,3,3.0,2,3,2,3,4,3,5,2,3,3,1,4,5,2,5,4,3,4,3,5.0,2,4,4.0,5,3.0,4,Hound Dogs,"Up to 1 foot, 2 inches tall at the shoulder",44 to 55 pounds. ,10 to 12 years,Versatile
102,3,3,3.0,1,4,3,5,5,5,5,3,3,3,1,5,1,5,3,4,4,5,5,4.0,2,4,5.0,5,5.0,5,Sporting Dogs,26 to 28 inches at the shoulder,45 to 100 pounds,12 to 15 years,Resistant
103,3,2,4.0,2,2,4,4,5,4,4,3,3,4,1,3,3,3,4,4,1,4,1,4.0,4,4,5.0,5,3.0,5,Mixed Breed Dogs,9 to 12 inches,5 to 20 pounds ,12 to 15 years,Moderate
104,4,1,4.0,3,3,3,4,5,4,3,2,4,1,2,5,4,2,4,3,4,4,2,4.0,4,2,4.0,5,3.0,5,Hybrid Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",30 to 80 pounds ,10 to 13,Hesitant
105,4,4,3.0,2,2,3,3,4,3,4,1,3,2,1,4,3,3,2,3,3,3,1,5.0,2,2,4.0,3,2.0,4,Companion Dogs,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",18 to 30 pounds,12 to 15 years,Flexible
106,3,2,4.0,1,4,4,4,5,4,2,4,3,3,1,5,3,3,4,4,4,5,2,3.0,5,4,5.0,5,5.0,5,Herding Dogs,20 to 25 inches,Starts at 20 pounds,12 to 15 years,Resistant
107,4,5,5.0,3,4,2,4,3,3,3,1,3,2,1,2,4,5,1,3,1,4,2,2.0,3,1,3.0,3,1.0,3,Companion Dogs,"Up to 1 foot, 2 inches tall at the shoulder",40 to 95 pounds,13 to 18 years,Versatile
108,3,3,3.0,2,1,3,3,2,3,3,2,3,3,1,4,5,3,2,3,3,4,3,3.0,4,2,3.0,3,2.0,3,Mixed Breed Dogs,22 inches to 26 inches tall at the shoulder,45 to 100 pounds,12 to 16 years,Flexible
109,3,1,3.0,3,3,3,5,5,5,4,4,3,4,1,4,4,3,5,4,1,3,2,3.0,1,4,4.0,5,4.0,4,Working Dogs,11 inches to 1 foot tall at the shoulder,85 to 160 pounds,10 to 12 years,Versatile
110,2,2,4.0,2,4,2,5,5,5,5,5,3,5,2,3,3,3,5,4,3,4,3,5.0,1,4,4.0,4,3.0,4,Sporting Dogs,19 to 24 inches,30 to 60 pounds,10 to 14 years,Resistant
111,3,4,4.0,2,2,4,4,5,4,4,4,4,1,3,4,4,4,4,3,4,3,3,4.0,2,2,4.0,4,3.0,5,Mixed Breed Dogs,"2 feet to 2 feet, 2 inches tall at the shoulder",Starts at 20 pounds,10 to 16 years,Hesitant
112,4,2,3.0,2,4,5,4,5,5,3,3,3,3,1,5,4,3,3,4,3,4,2,5.0,4,5,4.0,2,2.0,4,Hound Dogs,"Up to 1 foot, 2 inches tall at the shoulder",37 to 62 pounds,10 to 15 years,Flexible
